"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2392201764","x1529239841057255427",2022-05-24 23:16:04,"SergiyKyslytsya",".@SergiyKyslytsya is Ukraine’s ambassador to the U.N. Unafraid of confronting his Russian counterparts, Kyslytsya has spent the three months since the invasion driving home the horror of the Ukraine war. He joins @amanpour from New York. https://t.co/A0jO1iMaSl","Twitter for iPhone",140,,,,FALSE,TRUE,0,16,,,,,,,,,,,,,,,,"x1022853254273818625 x2392201764","AmanpourCoPBS SergiyKyslytsya","en",,,,,,,,,,,,,,,,"x1529230885916028928",".@SergiyKyslytsya is Ukraine’s ambassador to the U.N. Unafraid of confronting his Russian counterparts, Kyslytsya has spent the three months since the invasion driving home the horror of the Ukraine war. He joins @amanpour from New York. https://t.co/A0jO1iMaSl",2022-05-24 22:40:29,"Twitter Web App",115,16,"x1022853254273818625","AmanpourCoPBS","Amanpour and Company",31203,2142,4971,"Global","#AmanpourPBS examines global and domestic news with @amanpour and contributors. Weeknights on @PBS-check local listings. 212-560-2888. programming@thirteen.org",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529239841057255427","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529160151583834113",2022-05-24 17:59:25,"SergiyKyslytsya","It’s a great opportunity to listen and to talk to such outstanding leaders as @vonderleyen @erna_solberg &amp; my great colleague @OlofBSkoog I appreciate their principled position on how to defend &amp; move forward to secure future where nations are free &amp; united around common values https://t.co/eHHlwSvnLE","Twitter for iPhone",290,,,,FALSE,FALSE,299,30,,,,,,,,"http://pbs.twimg.com/media/FTirDdoX0AEUu-i.jpg","https://t.co/eHHlwSvnLE","https://twitter.com/SergiyKyslytsya/status/1529160151583834113/photo/1","photo","http://pbs.twimg.com/media/FTirDdoX0AEUu-i.jpg","https://t.co/eHHlwSvnLE","https://twitter.com/SergiyKyslytsya/status/1529160151583834113/photo/1",,"x1146329871418843136 x16432083 x3058458606","vonderleyen erna_solberg OlofBSkoog","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529160151583834113","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529158521165697028",2022-05-24 17:52:56,"SergiyKyslytsya","Fruitful meeting with @vonderleyen and @SergiyKyslytsya in New York today on how to make progress in the fight against poverty, climate change and gender inequality, especially in the light of the Russian invasion of Ukraine.@GlblCtzn #GlobalCitizenNOW https://t.co/vyIoRR6SJ8","Twitter for iPhone",140,,,,FALSE,TRUE,0,19,,,,,,,,,,,,,,,,"x16432083 x1146329871418843136 x2392201764","erna_solberg vonderleyen SergiyKyslytsya","en",,,,,,,,,,,,,,,,"x1528720715859611649","Fruitful meeting with @vonderleyen and @SergiyKyslytsya in New York today on how to make progress in the fight against poverty, climate change and gender inequality, especially in the light of the Russian invasion of Ukraine.@GlblCtzn #GlobalCitizenNOW https://t.co/vyIoRR6SJ8",2022-05-23 12:53:15,"Twitter for iPhone",157,19,"x16432083","erna_solberg","Erna Solberg",348665,1499,6641,"Hordaland, Bergen","Tidligere statsminister i Norge. Jobber for et samfunn med muligheter for alle. For saker til forvaltningen, henvend deg til rette myndighet for saksbehandling.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529158521165697028","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529151249412763656",2022-05-24 17:24:02,"SergiyKyslytsya","Just spoke w/ Ukraine's UN Amb @SergiyKyslytsya. He calls Russian diplomat Boris Bondarev's resignation ""very courageous,"" but he's ""disappointed"".

In Russia's foreign service, ""there's only one known case of a person who has dignity &amp; moral standards to speak out against evil."" https://t.co/EkKShUelAq","Twitter Web App",140,,,,FALSE,TRUE,0,64,,,,,,,,,,,,,,,,"x69181624 x2392201764","amanpour SergiyKyslytsya","en",,,,,,,,,,,,,,,,"x1529121238966321153","Just spoke w/ Ukraine's UN Amb @SergiyKyslytsya. He calls Russian diplomat Boris Bondarev's resignation ""very courageous,"" but he's ""disappointed"".

In Russia's foreign service, ""there's only one known case of a person who has dignity &amp; moral standards to speak out against evil."" https://t.co/EkKShUelAq",2022-05-24 15:24:47,"TweetDeck",349,64,"x69181624","amanpour","Christiane Amanpour",3172053,1015,14794,"London","@CNN Chief International Anchor. Host, @CNNi & @PBS's nightly global affairs program. https://t.co/ohAPPIq4pY & https://t.co/5CC4uxElpA

Hear the podcast: https://t.co/6MbmubLOY7",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529151249412763656","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529150713850433538",2022-05-24 17:21:55,"SergiyKyslytsya","It’s a “burden on Russians how they’ll turn their country back,” says Ukraine’s UN Ambassador @SergiyKyslytsya. “If Russia doesn’t turn back on the path of democracy, if the world will be satisfied with just military defeat of Russia, in 5 or 7 years… [Russia will] hit again.” https://t.co/WS6k3WVXar","Twitter for iPhone",140,,,,FALSE,TRUE,0,108,,,,,,,,,,,,,,,,"x69181624 x2392201764","amanpour SergiyKyslytsya","en",,,,,,,,,,,,,,,,"x1529150563996286976","It’s a “burden on Russians how they’ll turn their country back,” says Ukraine’s UN Ambassador @SergiyKyslytsya. “If Russia doesn’t turn back on the path of democracy, if the world will be satisfied with just military defeat of Russia, in 5 or 7 years… [Russia will] hit again.” https://t.co/WS6k3WVXar",2022-05-24 17:21:19,"SnapStream TV Search",409,108,"x69181624","amanpour","Christiane Amanpour",3172053,1015,14794,"London","@CNN Chief International Anchor. Host, @CNNi & @PBS's nightly global affairs program. https://t.co/ohAPPIq4pY & https://t.co/5CC4uxElpA

Hear the podcast: https://t.co/6MbmubLOY7",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529150713850433538","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529150141986480128",2022-05-24 17:19:38,"SergiyKyslytsya","My full conversation with @SergiyKyslytsya airs at 7pm CET on @cnni and tonight on @PBS.
 
Also tonight, an exclusive interview with @PalestinePMO @DrShtayyeh about the killing of Shireen Abu Akleh, the peace process, and more. https://t.co/YsBfxFNYcl","Twitter Web App",140,,,,FALSE,TRUE,0,33,,,,,,,,,,,,,,,,"x69181624 x2392201764 x2097571 x12133382","amanpour SergiyKyslytsya cnni PBS","en",,,,,,,,,,,,,,,,"x1529127968345571329","My full conversation with @SergiyKyslytsya airs at 7pm CET on @cnni and tonight on @PBS.
 
Also tonight, an exclusive interview with @PalestinePMO @DrShtayyeh about the killing of Shireen Abu Akleh, the peace process, and more. https://t.co/YsBfxFNYcl",2022-05-24 15:51:32,"TweetDeck",184,33,"x69181624","amanpour","Christiane Amanpour",3172053,1015,14794,"London","@CNN Chief International Anchor. Host, @CNNi & @PBS's nightly global affairs program. https://t.co/ohAPPIq4pY & https://t.co/5CC4uxElpA

Hear the podcast: https://t.co/6MbmubLOY7",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529150141986480128","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529150103608508416",2022-05-24 17:19:29,"SergiyKyslytsya","Ukraine alleges stealing of Ukrainian grain by “Russian thieves.” Ukrainian Amb. to UN @SergiyKyslytsya says “it’s clearly a very informed, conscious decision of Putin &amp; his henchmen… If immediate actions are not taken, we will see the worst of the tragedy in 2 months from now.” https://t.co/58YgTOEv2R","Twitter Web App",139,,,,FALSE,TRUE,0,68,,,,,,,,,,,,,,,,"x69181624 x2392201764","amanpour SergiyKyslytsya","en",,,,,,,,,,,,,,,,"x1529147280812548096","Ukraine alleges stealing of Ukrainian grain by “Russian thieves.” Ukrainian Amb. to UN @SergiyKyslytsya says “it’s clearly a very informed, conscious decision of Putin &amp; his henchmen… If immediate actions are not taken, we will see the worst of the tragedy in 2 months from now.” https://t.co/58YgTOEv2R",2022-05-24 17:08:16,"SnapStream TV Search",206,68,"x69181624","amanpour","Christiane Amanpour",3172053,1015,14794,"London","@CNN Chief International Anchor. Host, @CNNi & @PBS's nightly global affairs program. https://t.co/ohAPPIq4pY & https://t.co/5CC4uxElpA

Hear the podcast: https://t.co/6MbmubLOY7",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529150103608508416","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529150008049770501",2022-05-24 17:19:06,"SergiyKyslytsya","“We always believed that the negotiation table is the best way &amp; most humane way” to end the war says Ukraine’s UN Amb @SergiyKyslytsya. “It is clear that [Putin] has not yet reached that point of realization… Unfortunately, all of us have to pay the ultimate price” before then. https://t.co/Po544BKhKG","Twitter Web App",144,,,,FALSE,TRUE,0,47,,,,,,,,,,,,,,,,"x69181624","amanpour","en",,,,,,,,,,,,,,,,"x1529148331364171779","“We always believed that the negotiation table is the best way &amp; most humane way” to end the war says Ukraine’s UN Amb @SergiyKyslytsya. “It is clear that [Putin] has not yet reached that point of realization… Unfortunately, all of us have to pay the ultimate price” before then. https://t.co/Po544BKhKG",2022-05-24 17:12:27,"SnapStream TV Search",226,47,"x69181624","amanpour","Christiane Amanpour",3172053,1015,14794,"London","@CNN Chief International Anchor. Host, @CNNi & @PBS's nightly global affairs program. https://t.co/ohAPPIq4pY & https://t.co/5CC4uxElpA

Hear the podcast: https://t.co/6MbmubLOY7",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529150008049770501","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529149358150656004",2022-05-24 17:16:31,"SergiyKyslytsya","The resignation of Russian diplomat Boris Bondarev is “very courageous,” says Ukraine’s UN Ambassador @SergiyKyslytsya, but he's “disappointed”. 

In Russia's foreign service, “there's only one known case of a person who has dignity &amp; moral standards to speak out against evil.” https://t.co/Ao7ooVOZ40","Twitter Web App",140,,,,FALSE,TRUE,0,100,,,,,,,,,,,,,,,,"x69181624 x2392201764","amanpour SergiyKyslytsya","en",,,,,,,,,,,,,,,,"x1529149212713156609","The resignation of Russian diplomat Boris Bondarev is “very courageous,” says Ukraine’s UN Ambassador @SergiyKyslytsya, but he's “disappointed”. 

In Russia's foreign service, “there's only one known case of a person who has dignity &amp; moral standards to speak out against evil.” https://t.co/Ao7ooVOZ40",2022-05-24 17:15:57,"SnapStream TV Search",376,100,"x69181624","amanpour","Christiane Amanpour",3172053,1015,14794,"London","@CNN Chief International Anchor. Host, @CNNi & @PBS's nightly global affairs program. https://t.co/ohAPPIq4pY & https://t.co/5CC4uxElpA

Hear the podcast: https://t.co/6MbmubLOY7",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529149358150656004","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
"x2392201764","x1529148083187208195",2022-05-24 17:11:27,"SergiyKyslytsya","“Music on this stage is a separate important victory,” said Olena Zelenska. “It is a sign of unity of our cultures against the chaos and grief of war. And all of you who are in this hall today are our effective and true allies in this cultural struggle.” https://t.co/rfP6dK9uzq","Twitter for iPhone",278,,,,FALSE,FALSE,182,21,,,,,"nytimes.com/2022/05/24/art…","https://t.co/rfP6dK9uzq","https://www.nytimes.com/2022/05/24/arts/music/carnegie-hall-benefit-ukraine.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SergiyKyslytsya/status/1529148083187208195","Sergiy Kyslytsya","New York, NY","Permanent Representative of Ukraine @UKRinUN Views are personal and aren't government's position unless it's clearly & explicitly indicated <U+0420><U+0435><U+0442><U+0432><U+0456><U+0442><U+0438> <U+2260> <U+0441><U+0445><U+0432><U+0430><U+043B><U+0435><U+043D><U+043D><U+044F>","https://t.co/z8WnUcEajf",FALSE,86860,1862,761,13493,7218,2014-03-16 06:24:55,TRUE,"https://t.co/z8WnUcEajf","http://ukraineun.org",,"https://pbs.twimg.com/profile_banners/2392201764/1419861879","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1229289787049246720/nEIK2wGq_normal.jpg"
